,month,year,fuel,production,factory,type,supplier,unit_fuel,unit_production
0,1,2017,6159.4939595959595,239479,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
1,2,2017,6082.164068181819,265073,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
2,3,2017,5848.733464285715,284983,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
3,4,2017,4730.258807453416,302032,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
4,5,2017,4691.666952380952,328602,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
5,6,2017,3994.2570000000005,219754,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
6,7,2017,3178.226,278115,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
7,8,2017,3727.9732000000004,132747,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
8,9,2017,3738.214884615385,192550,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
9,10,2017,2662.838,257604,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
10,11,2017,3178.226,148611,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
11,12,2017,2147.4500000000003,166618,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
