Unnamed: 0,month,year,fuel,production,factory,type,supplier,unit_fuel,unit_production,day,date,TintColor_fuel,TintColor_production,emission_factor
0,1,2017,146760,251994,TintColor,FuelOil,Afriquia,kilograms,kilograms,1,2017-01-01,146760,251994,2.8851299999999998
1,2,2017,110330,177575,TintColor,FuelOil,Afriquia,kilograms,kilograms,1,2017-02-01,110330,177575,2.8851299999999998
2,3,2017,106470,197719,TintColor,FuelOil,Afriquia,kilograms,kilograms,1,2017-03-01,106470,197719,2.8851299999999998
3,4,2017,89737,188713,TintColor,FuelOil,Afriquia,kilograms,kilograms,1,2017-04-01,89737,188713,2.8851299999999998
4,5,2017,95544,195952,TintColor,FuelOil,Afriquia,kilograms,kilograms,1,2017-05-01,95544,195952,2.8851299999999998
5,6,2017,81892,169019,TintColor,FuelOil,Afriquia,kilograms,kilograms,1,2017-06-01,81892,169019,2.8851299999999998
6,7,2017,115478,245628,TintColor,FuelOil,Afriquia,kilograms,kilograms,1,2017-07-01,115478,245628,2.8851299999999998
7,8,2017,61011,163386,TintColor,FuelOil,Afriquia,kilograms,kilograms,1,2017-08-01,61011,163386,2.8851299999999998
8,9,2017,70194,174484,TintColor,FuelOil,Afriquia,kilograms,kilograms,1,2017-09-01,70194,174484,2.8851299999999998
9,10,2017,114580,260535,TintColor,FuelOil,Afriquia,kilograms,kilograms,1,2017-10-01,114580,260535,2.8851299999999998
10,11,2017,54853,110253,TintColor,FuelOil,Afriquia,kilograms,kilograms,1,2017-11-01,54853,110253,2.8851299999999998
11,12,2017,101266,158883,TintColor,FuelOil,Afriquia,kilograms,kilograms,1,2017-12-01,101266,158883,2.8851299999999998
